category_id,category_code,count_purchase_category,sales_category,best_selling_product_id,count_purchase_product,sales_product,category_sales_per
2053013555413778833,not specified,237,37423.29,8200231,15,1150.95,0.030754912248495522
2053013561453576945,not specified,237,25799.81,20900018,21,1639.25,0.063537289615698720
2053013561453576945,apparel.costume,237,25799.81,20900018,21,1639.25,0.063537289615698720
2232732111087862536,kids.swing,234,18957.56,22300003,221,16544.12,0.872692477301931261
2232732104653800053,appliances.kitchen.grill,233,9932.84,10201511,29,1491.07,0.150115173505261335
2053013557544485393,not specified,233,182863.43,14300026,29,26409.03,0.144419417266754758
2053013557544485393,not specified,233,182863.43,14300048,29,16988.03,0.092900094895955960
2053013554071601477,not specified,232,13960.57,9800397,12,551.55,0.039507699184202364
2053013558492398155,not specified,231,6635.47,14400016,41,647.64,0.097602731984320628
2053013558492398155,apparel.shoes,231,6635.47,14400016,41,647.64,0.097602731984320628
2053013566344134657,not specified,230,12787.30,29501823,51,3800.52,0.297210513556419260
2053013554121933129,computers.components.cpu,229,52636.30,6400282,30,4438.99,0.084333245307895882
2232732108982321870,apparel.costume,228,3795.65,17501003,17,109.48,0.028843544583931606
2232732102640534085,apparel.shoes.keds,227,80468.14,2300329,51,24694.53,0.306885805984828281
2053013557787755041,computers.components.cooler,227,49933.13,4400189,32,693.26,0.013883768151525851
2232732107967300275,apparel.underwear,226,47501.61,14300088,56,9022.16,0.189933772771070286
2053013559767466645,not specified,225,41232.45,15600020,24,6132.47,0.148729216915317911
2053013559767466645,sport.trainer,225,41232.45,16300031,24,865.89,0.021000207360949931
2053013555438944659,not specified,223,8076.55,12000021,16,411.36,0.050932638317103219
2232732102858637897,furniture.bedroom.blanket,223,21538.79,4900421,28,1133.38,0.052620411824433963
2232732106792895129,not specified,223,7062.26,12800418,21,202.17,0.028626813512954777
2232732103613612635,apparel.shoes.ballet_shoes,221,18157.42,6100130,42,2529.66,0.139318251161233259
2232732085393555647,furniture.living_room.sofa,220,23530.54,17601132,10,429.60,0.018257124570876826
2053013562292437791,medicine.tools.tonometer,218,10137.51,25800005,60,2477.56,0.244395319955294742
2053013562292437791,medicine.tools.tonometer,218,10137.51,25800007,60,2900.25,0.286090963165511057
2053013556110033341,not specified,217,12387.55,30100041,30,674.16,0.054422383764344039
2232732100342055447,appliances.personal.massager,217,19097.26,34700033,21,3837.96,0.200969144264674618
2232732114611077978,construction.tools.light,216,32375.38,29100091,33,560.67,0.017317789011279559
2053013564599305123,sport.trainer,213,45753.36,26900021,42,4349.57,0.095065586439990418
2232732108613223108,sport.trainer,212,53619.14,15800070,21,1499.85,0.027972287507781736
2095518921321874323,furniture.living_room.cabinet,211,35845.77,42300027,36,7534.07,0.210180169096660499
2232732128041238700,apparel.shirt,210,12550.80,54900000,36,1405.40,0.111976925773655863
2232732097548648918,apparel.shoes,209,5082.67,53300010,83,1215.95,0.239234496829422331
2053013562611204913,not specified,208,1799.49,26018560,11,99.62,0.055360129814558569
2084217994270999025,not specified,208,23035.65,11900069,42,3618.34,0.157075663156889430
2053013557930361385,not specified,208,7180.92,29500013,15,1040.55,0.144904831135843318
2053013557930361385,not specified,208,7180.92,40200429,15,54.00,0.007519927808693037
2053013560086233771,construction.tools.pump,207,21947.80,27700695,24,3421.59,0.155896718577716218
2232732066611463064,not specified,206,109708.89,26800064,33,15281.31,0.139289623657663476
2053013566453186567,not specified,205,4554.30,29501508,35,761.25,0.167149726631974178
